TRAFFIC_STUDY_SPEED_ID,ROW_ID,DATA_FILE,SITE_CODE,DATETIME,YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,TIME,SPEED_CHANNEL,COUNT_TOTAL,SPEED_0_14,SPEED_15_19,SPEED_20_24,SPEED_25_29,SPEED_30_34,SPEED_35_39,SPEED_40_44,SPEED_45_49,SPEED_50_54,SPEED_55_59,SPEED_60_64,SPEED_65_69,SPEED_70_200
,051c6d0867252e75fa6d1cba5c78a6cf0a06a280,PecanSpringsRd2940BD.rdf,G18JMA,03/30/2016 12:00:00 PM,2016,3,30,2,12:00,SB,22,0,0,0,8,6,7,1,0,0,0,0,0,0
,5e868ae7df824b69078f94220ac1679d4d6b04eb,PecanSpringsRd2940BD.rdf,G18JMA,03/30/2016 01:00:00 PM,2016,3,30,2,13:00,SB,30,0,0,2,8,15,5,0,0,0,0,0,0,0
,ee1d9b5b0deb641e3725efb3febc8127875d8f7b,PecanSpringsRd2940BD.rdf,G18JMA,03/29/2016 02:00:00 PM,2016,3,29,1,14:00,NB,8,0,0,0,5,2,1,0,0,0,0,0,0,0
,57062aead4ac44830c7042e46a5f24dba8303d5b,PecanSpringsRd2940BD.rdf,G18JMA,03/29/2016 03:00:00 PM,2016,3,29,1,15:00,NB,11,1,1,2,4,2,1,0,0,0,0,0,0,0
,9c35170c3fef99149bdfaa8e229c7f4901dcefe7,PecanSpringsRd2940BD.rdf,G18JMA,03/29/2016 04:00:00 PM,2016,3,29,1,16:00,NB,6,0,1,1,1,2,1,0,0,0,0,0,0,0
,1ba258f07048d3c38cbf4f9d4093630875046a58,PecanSpringsRd2940BD.rdf,G18JMA,03/29/2016 05:00:00 PM,2016,3,29,1,17:00,NB,16,0,2,1,6,3,4,0,0,0,0,0,0,0
,02f0180b796b0e5a1f87112a184461d097ff524b,PecanSpringsRd2940BD.rdf,G18JMA,03/29/2016 06:00:00 PM,2016,3,29,1,18:00,NB,12,0,2,3,3,3,1,0,0,0,0,0,0,0
,9ec07f269bb21931d848d425e3ce47794f1f0be0,PecanSpringsRd2940BD.rdf,G18JMA,03/29/2016 07:00:00 PM,2016,3,29,1,19:00,NB,14,1,1,3,6,2,1,0,0,0,0,0,0,0
,ab7ef292120f8211352b2ced1b2963c8e1889aac,PecanSpringsRd2940BD.rdf,G18JMA,03/29/2016 08:00:00 PM,2016,3,29,1,20:00,NB,9,0,0,1,2,6,0,0,0,0,0,0,0,0
,bca2f55f3ad689e60087c48717287d9fb1093606,PecanSpringsRd2940BD.rdf,G18JMA,03/29/2016 09:00:00 PM,2016,3,29,1,21:00,NB,17,0,2,1,6,7,1,0,0,0,0,0,0,0
